Date(UTC),Pair,Side,Price,Executed,Amount,Fee
2024-07-15 14:23:12,BTCEUR,BUY,9235.45,9235.45,0.15432100,0.00015432 BTC
2024-07-14 18:45:33,ETHEUR,SELL,2387.50,1193.75,0.50000000,1.19375 EUR
2024-07-13 09:12:45,BTCEUR,BUY,9150.00,915.00,0.10000000,0.00010000 BTC
2024-07-12 16:28:17,ADAEUR,BUY,0.3602,450.25,1250.00000000,0.45025 EUR
2024-07-11 11:35:29,ETHEUR,SELL,2387.00,3580.50,1.50000000,0.00150000 ETH
2024-07-10 20:14:52,BTCEUR,BUY,9080.25,2724.08,0.30000000,0.00030000 BTC
2024-07-09 13:47:38,DOTEUR,BUY,4.005,320.40,80.00000000,0.32040 EUR
2024-07-08 08:56:14,ETHEUR,SELL,2420.75,1210.38,0.50000000,1.21038 EUR
2024-07-07 15:22:41,BNBEUR,BUY,578.50,1157.00,2.00000000,0.00200000 BNB
2024-07-06 12:18:25,BTCEUR,SELL,8950.30,1790.06,0.20000000,1.79006 EUR
