Transaction ID,Timestamp,Transaction Type,In/Out,Amount Fiat,Fiat,Amount Asset,Asset,Asset market price,Asset market price currency,Fee amount,Fee asset,Spread amount,Spread asset
1a2b3c4d-5e6f-7890-1234-567890abcdef,2024-07-15 14:23:12,Buy,In,1439.70,EUR,0.15432100,BTC,9235.45,EUR,14.47,EUR,0,EUR
2b3c4d5e-6f78-9012-3456-7890abcdef12,2024-07-14 18:45:33,Sell,Out,1181.36,EUR,0.50000000,ETH,2387.50,EUR,12.39,EUR,0,EUR
3c4d5e6f-7890-1234-5678-90abcdef1234,2024-07-13 09:12:45,Buy,In,924.15,EUR,0.10000000,BTC,9150.00,EUR,9.15,EUR,0,EUR
4d5e6f78-9012-3456-7890-abcdef123456,2024-07-12 16:28:17,Buy,In,454.75,EUR,1250.00000000,ADA,0.3602,EUR,4.50,EUR,0,EUR
5e6f7890-1234-5678-90ab-cdef12345678,2024-07-11 11:35:29,Sell,Out,3544.70,EUR,1.50000000,ETH,2387.00,EUR,35.80,EUR,0,EUR
6f789012-3456-7890-abcd-ef1234567890,2024-07-10 20:14:52,Buy,In,2751.32,EUR,0.30000000,BTC,9080.25,EUR,27.24,EUR,0,EUR
7890123a-4567-890a-bcde-f12345678901,2024-07-09 13:47:38,Buy,In,323.60,EUR,80.00000000,DOT,4.005,EUR,3.20,EUR,0,EUR
890123ab-4567-890a-bcde-f12345678901,2024-07-08 08:56:14,Sell,Out,1198.27,EUR,0.50000000,ETH,2420.75,EUR,12.11,EUR,0,EUR
90123abc-4567-890a-bcde-f12345678901,2024-07-07 15:22:41,Buy,In,929.20,EUR,1000.00000000,USDC,0.92,EUR,9.20,EUR,0,EUR
0123abcd-4567-890a-bcde-f12345678901,2024-07-06 12:18:25,Sell,Out,1772.16,EUR,0.20000000,BTC,8950.30,EUR,17.90,EUR,0,EUR
